Geographic_Area_Name,zipCode,Median_number_of_rooms_2011,Median_number_of_rooms_2012,Median_number_of_rooms_2013,Median_number_of_rooms_2014,Median_number_of_rooms_2015,Median_number_of_rooms_2016,Median_number_of_rooms_2017,Median_number_of_rooms_2018,Median_number_of_rooms_2019,Median_number_of_rooms_2020,Median_number_of_rooms_2021,Median_number_of_rooms_2022,Median_number_of_rooms_2023,Median_number_of_rooms_2024
ZCTA5 18252,18252,6.1,6.2,6.2,6.2,6.1,6.2,6.0,6.1,6.1,6.1,6.2,6.2,6.2,6.1
ZCTA5 18254,18254,6.2,6.3,6.1,6.0,6.1,6.0,5.9,6.1,6.2,6.0,6.1,6.2,6.2,6.4
ZCTA5 18255,18255,6.2,6.3,6.1,6.1,6.0,6.1,6.1,6.2,6.1,6.2,6.3,6.3,6.2,6.2
ZCTA5 18256,18256,6.4,6.3,6.4,6.2,6.0,5.9,5.3,5.1,5.9,6.3,5.0,5.9,5.9,6.0
ZCTA5 18301,18301,6.1,6.1,6.1,6.0,6.1,6.1,6.1,6.2,6.2,6.2,6.4,6.3,6.3,6.2
ZCTA5 18302,18302,6.1,6.0,5.9,6.0,5.9,5.9,6.0,6.0,5.9,5.8,5.8,5.7,5.8,6.1
ZCTA5 18321,18321,6.0,6.2,6.1,5.8,5.6,5.1,5.4,5.4,5.6,6.0,6.0,6.2,6.3,6.2
ZCTA5 18322,18322,6.4,6.4,6.4,6.5,6.3,6.1,5.9,6.3,6.4,6.2,6.2,6.2,6.1,6.1
ZCTA5 18323,18323,7.6,7.7,7.9,7.7,8.0,7.2,9.0+,7.4,7.8,9.0+,9.0+,9.0+,9.0+,9.0+
ZCTA5 18324,18324,5.7,5.6,5.5,5.5,5.5,5.7,5.8,5.8,5.9,5.9,6.0,6.1,6.2,6.1
ZCTA5 18325,18325,5.8,5.6,5.4,5.1,5.6,5.4,5.4,5.5,5.7,6.1,6.6,6.7,6.4,6.2
ZCTA5 18326,18326,6.1,6.0,6.0,6.1,6.1,6.1,5.9,5.8,5.8,6.0,6.1,6.4,6.6,6.1
ZCTA5 18327,18327,5.4,5.1,4.9,4.6,4.6,4.6,4.6,5.0,5.0,5.0,5.3,5.6,5.6,5.8
ZCTA5 18328,18328,5.5,5.2,5.3,5.3,5.4,5.3,5.3,5.4,5.4,5.5,5.6,5.7,5.7,5.8
ZCTA5 18330,18330,6.5,6.7,6.7,6.6,6.5,6.4,6.4,6.2,6.2,6.5,6.5,6.5,6.7,6.8
ZCTA5 18331,18331,5.7,5.1,4.8,5.6,5.0,4.8,5.8,4.5,4.3,5.2,7.0,6.7,6.6,6.4
ZCTA5 18332,18332,5.8,6.3,6.3,6.4,6.2,6.4,6.5,6.3,6.4,6.2,6.2,6.0,6.3,6.1
ZCTA5 18333,18333,6.1,7.6,5.6,5.7,7.6,7.1,7.2,7.1,7.2,7.1,-,-,-,-
ZCTA5 18334,18334,5.5,5.6,5.7,5.7,5.9,5.9,6.0,5.9,5.7,5.7,5.8,5.8,5.9,5.9
ZCTA5 18335,18335,4.8,4.3,4.4,5.5,5.2,5.9,6.2,5.9,6.2,8.2,7.7,7.6,8.0,8.3
ZCTA5 18336,18336,5.8,5.7,5.7,5.7,5.6,5.7,5.7,5.6,5.6,5.8,5.8,5.8,5.8,5.4
ZCTA5 18337,18337,6.0,6.0,6.0,6.0,6.0,6.0,6.1,6.0,6.0,6.0,6.0,6.0,6.0,6.1
ZCTA5 18340,18340,5.3,5.5,5.7,5.2,5.4,6.2,5.3,5.4,6.0,5.9,5.1,5.3,4.5,4.6
ZCTA5 18342,18342,5.5,5.9,5.4,4.8,5.3,5.9,6.0,6.7,6.7,6.8,6.7,5.0,5.0,4.6
ZCTA5 18343,18343,6.5,6.5,6.4,6.2,6.0,5.9,6.0,6.1,6.1,6.1,6.3,6.2,6.2,6.3
ZCTA5 18344,18344,5.3,5.2,5.4,5.5,5.6,5.7,5.3,5.2,5.0,5.1,5.0,5.1,5.0,4.8
ZCTA5 18346,18346,5.9,5.8,5.8,6.0,5.7,5.5,5.8,5.8,5.8,5.8,5.8,5.9,6.0,6.1
ZCTA5 18347,18347,5.1,5.1,5.1,5.1,5.2,5.2,5.2,5.3,5.3,5.3,5.5,5.7,5.5,5.6
ZCTA5 18349,18349,8.4,8.0,7.6,7.7,7.5,7.5,7.9,8.5,6.7,7.4,4.2,-,4.3,9.0+
ZCTA5 18350,18350,5.9,5.8,5.8,5.6,5.6,5.7,5.8,5.7,5.7,5.8,5.7,5.8,5.9,6.1
ZCTA5 18351,18351,5.6,5.5,6.0,6.1,5.9,5.9,5.9,5.4,5.3,5.6,5.8,5.7,5.6,5.7
ZCTA5 18352,18352,5.4,5.6,5.4,5.8,6.1,6.2,6.3,6.6,6.8,7.2,,,,
ZCTA5 18353,18353,6.3,6.4,6.3,6.3,6.2,6.3,6.3,6.3,6.4,6.4,6.4,6.3,6.2,6.3
