Geographic_Area_Name,zipCode,Median_value_2011,Median_value_2012,Median_value_2013,Median_value_2014,Median_value_2015,Median_value_2016,Median_value_2017,Median_value_2018,Median_value_2019,Median_value_2020,Median_value_2021,Median_value_2022,Median_value_2023,Median_value_2024
ZCTA5 01581,01581,425400,412200,397300,403900,406300,432000,432000,449600,458100,482400,508800,601900,637900,685300
ZCTA5 01583,01583,286300,277400,273100,267600,265100,268700,268200,278800,298000,300400,323600,383400,399700,441500
ZCTA5 01585,01585,253400,242500,227100,216800,214800,219800,222700,241000,253000,263000,257300,286900,319800,344000
ZCTA5 01588,01588,289200,281700,283700,261000,255700,250800,261000,264300,284900,310700,330200,360300,413600,427100
ZCTA5 01590,01590,361900,368400,360800,370500,354500,356500,349100,350700,351900,365900,391300,472700,526400,523100
ZCTA5 01602,01602,245200,234500,226200,222900,218400,218600,225400,231000,237100,254800,280700,347600,380800,417300
ZCTA5 01603,01603,208000,200300,188700,186000,180200,179300,183400,188700,194800,213100,229800,269000,287800,331300
ZCTA5 01604,01604,229900,227900,219100,211400,209600,209800,209700,219100,227800,237600,246600,295100,321900,352500
ZCTA5 01605,01605,238800,224100,209200,195100,193500,195100,198300,213300,216800,228800,258000,291000,349800,392100
ZCTA5 01606,01606,230200,224200,216500,213300,207400,210600,215400,225400,230400,244700,259800,304200,343700,370800
ZCTA5 01607,01607,210900,200900,189300,180100,182900,175600,173100,178600,184300,217900,246900,307500,341300,377200
ZCTA5 01608,01608,86000,86000,64000,66300,43800,-,157600,168400,174400,253300,154400,156300,117100,153600
ZCTA5 01609,01609,303100,294700,292900,294300,286700,291700,305700,313200,325300,325400,325000,386400,422100,444000
ZCTA5 01610,01610,223700,201400,191800,175100,166800,169000,162500,172700,181800,190400,200600,252900,279100,308700
ZCTA5 01611,01611,226800,232200,226500,245800,228800,227600,227800,223600,233500,246700,275000,299800,306400,359800
ZCTA5 01612,01612,294700,285900,285800,282500,279300,281800,297600,309500,316800,349000,365300,434700,464700,472300
ZCTA5 01701,01701,367500,359500,356800,357800,360800,377300,389000,408800,433400,455700,480700,568100,612600,644300
ZCTA5 01702,01702,330900,323600,305400,301900,298600,312600,326900,334100,355600,385900,431600,515300,563600,583000
ZCTA5 01718,01718,313600,266900,267400,275800,277500,261000,275600,265600,267000,248900,318000,350500,359300,375800
ZCTA5 01719,01719,494300,504800,492700,511400,488200,500200,506700,527400,546500,586200,576200,653300,671800,706900
ZCTA5 01720,01720,486400,483500,480700,505600,514100,540400,564000,578200,588100,598700,624000,704100,766500,814300
ZCTA5 01721,01721,361100,353900,347900,348900,361400,372400,379000,386400,401900,418600,435900,532000,586000,611700
ZCTA5 01730,01730,537400,528700,540400,571800,578300,595600,605900,627000,655300,695400,718800,829000,878200,898500
ZCTA5 01731,01731,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 01740,01740,512700,503600,477300,470800,470300,476600,485200,525500,547700,578100,612800,679600,722300,796000
ZCTA5 01741,01741,780700,743400,754700,735600,733800,757900,793300,824100,845100,855000,863700,940300,1055600,1103900
ZCTA5 01742,01742,711200,690400,686700,690100,702300,729200,775100,814000,871300,907700,922900,1021400,1139200,1218100
ZCTA5 01745,01745,382300,366700,353800,362700,356900,391000,400000,378100,405900,409700,441300,633600,647400,650800
ZCTA5 01746,01746,389500,386000,382400,390900,393500,399900,417100,435600,448600,466500,483700,588000,620500,650300
ZCTA5 01747,01747,336400,330200,316900,318400,314100,311800,322500,328900,341100,354600,376300,405400,456000,466100
ZCTA5 01748,01748,519300,510000,515200,514200,526900,536100,551400,581700,577600,608600,624400,704600,726100,802700
ZCTA5 01749,01749,323500,309300,295800,294500,296600,310100,319700,335300,353700,370500,384100,458000,480300,496800
ZCTA5 01752,01752,328300,317100,307500,299400,302900,316500,325700,333600,348500,365200,382900,439600,485400,513100
ZCTA5 01754,01754,335500,333000,327400,325200,334000,327600,334000,340500,350200,367700,390600,459700,494200,527400
ZCTA5 01756,01756,380900,375600,372200,377000,389800,403500,422400,442500,473900,519200,523400,558000,605500,616000
ZCTA5 01757,01757,324500,315000,301000,289700,288200,285900,292800,297800,314800,333000,348400,403300,444100,478100
ZCTA5 01760,01760,430100,429700,425600,434700,447000,474500,497000,537200,565000,601700,621100,709100,740700,821300
ZCTA5 01770,01770,746500,721100,712700,741700,739900,716800,723500,769800,783800,790500,817700,898900,944400,1026800
ZCTA5 01772,01772,517600,504200,500000,544400,552800,582900,599200,612200,618500,638200,652700,743100,816500,841700
ZCTA5 01773,01773,865000,837200,854300,847200,887100,870500,846300,883600,926400,996200,1028800,1171300,1169800,1200800
ZCTA5 01775,01775,449600,438600,437500,444700,454600,452600,474800,487200,507800,514100,555200,633900,657900,729600
ZCTA5 01776,01776,636800,626600,632800,636300,640700,650200,668500,677900,720800,754200,797100,892700,939400,988900
ZCTA5 01778,01778,621600,603700,589700,600600,611500,638300,662000,690500,714300,736700,763900,865600,935700,977300
ZCTA5 01801,01801,372000,362100,363100,365500,365600,374300,394900,421200,453900,486600,528200,612500,641800,673500
ZCTA5 01803,01803,428000,414500,413000,419000,424800,439400,465900,491800,533800,588600,610000,659400,679400,740600
