Geographic_Area_Name,zipCode,Charged_for_other_fuels!!$250_to_$749_2021,Charged_for_other_fuels!!$250_to_$749_2022,Charged_for_other_fuels!!$250_to_$749_2023,Charged_for_other_fuels!!$750+units_2021,Charged_for_other_fuels!!$750+units_2022,Charged_for_other_fuels!!$750+units_2023,Charged_for_other_fuels!!Less_than_$250_2021,Charged_for_other_fuels!!Less_than_$250_2022,Charged_for_other_fuels!!Less_than_$250_2023,Charged_for_other_fuels_2021,Charged_for_other_fuels_2022,Charged_for_other_fuels_2023,"Not_charged,_not_used,_or_payment_included_in_other_fees_2021","Not_charged,_not_used,_or_payment_included_in_other_fees_2022","Not_charged,_not_used,_or_payment_included_in_other_fees_2023",Total_2021,Total_2022,Total_2023
ZCTA5 83215,83215,16,2,2,1,4,3,0,0,0,17,6,5,11,10,4,28,16,9
ZCTA5 83217,83217,63,49,32,32,35,32,24,14,11,119,98,75,201,215,210,320,313,285
ZCTA5 83218,83218,8,3,3,4,3,0,1,6,6,13,12,9,138,147,175,151,159,184
ZCTA5 83220,83220,0,0,0,0,0,0,0,0,0,0,0,0,44,46,47,44,46,47
ZCTA5 83221,83221,374,279,260,252,311,299,233,287,207,859,877,766,8217,8169,8517,9076,9046,9283
ZCTA5 83223,83223,17,16,14,3,9,7,10,10,5,30,35,26,54,41,54,84,76,80
ZCTA5 83226,83226,147,193,203,66,105,118,18,36,34,231,334,355,601,566,598,832,900,953
ZCTA5 83227,83227,0,0,0,0,0,0,0,0,0,0,0,0,23,29,55,23,29,55
ZCTA5 83228,83228,37,14,17,8,26,28,48,35,35,93,75,80,221,243,259,314,318,339
ZCTA5 83232,83232,21,46,49,7,6,18,13,14,20,41,66,87,89,84,103,130,150,190
ZCTA5 83233,83233,0,0,0,0,0,0,0,20,0,0,20,0,95,97,105,95,117,105
ZCTA5 83234,83234,60,45,75,45,49,43,24,33,24,129,127,142,353,377,382,482,504,524
ZCTA5 83235,83235,52,0,0,24,20,29,10,9,0,86,29,29,6,6,6,92,35,35
ZCTA5 83236,83236,51,72,54,71,96,141,29,28,12,151,196,207,733,660,615,884,856,822
ZCTA5 83237,83237,34,37,35,3,2,21,6,7,7,43,46,63,338,401,384,381,447,447
ZCTA5 83238,83238,0,0,0,6,8,6,0,0,0,6,8,6,30,42,64,36,50,70
ZCTA5 83239,83239,9,7,12,10,18,12,29,34,31,48,59,55,139,158,149,187,217,204
ZCTA5 83241,83241,14,21,29,18,18,29,13,18,13,45,57,71,730,714,649,775,771,720
ZCTA5 83243,83243,0,0,4,0,0,0,16,14,15,16,14,19,0,0,0,16,14,19
ZCTA5 83244,83244,53,64,57,42,37,40,6,0,0,101,101,97,76,68,84,177,169,181
ZCTA5 83245,83245,94,76,69,40,75,77,20,15,5,154,166,151,690,639,684,844,805,835
ZCTA5 83246,83246,0,0,0,9,19,4,16,13,16,25,32,20,334,407,345,359,439,365
ZCTA5 83250,83250,6,10,27,35,37,88,47,51,46,88,98,161,576,613,530,664,711,691
ZCTA5 83251,83251,46,30,37,46,71,65,24,55,43,116,156,145,402,420,424,518,576,569
ZCTA5 83252,83252,144,134,169,133,160,164,128,164,155,405,458,488,1331,1363,1418,1736,1821,1906
ZCTA5 83253,83253,0,0,0,10,7,7,0,0,0,10,7,7,12,21,29,22,28,36
ZCTA5 83254,83254,97,58,63,48,57,68,158,96,124,303,211,255,1032,1151,1119,1335,1362,1374
ZCTA5 83255,83255,42,48,47,49,49,43,42,46,38,133,143,128,249,280,277,382,423,405
ZCTA5 83261,83261,19,23,25,33,41,29,31,30,25,83,94,79,124,115,105,207,209,184
ZCTA5 83262,83262,54,68,62,5,8,15,0,0,0,59,76,77,249,270,278,308,346,355
ZCTA5 83263,83263,250,204,266,155,243,229,159,169,163,564,616,658,2654,2634,2744,3218,3250,3402
ZCTA5 83271,83271,12,9,14,10,21,37,4,2,1,26,32,52,80,98,89,106,130,141
ZCTA5 83272,83272,3,5,10,12,13,15,6,0,3,21,18,28,63,55,51,84,73,79
ZCTA5 83274,83274,214,241,201,142,122,122,135,142,122,491,505,445,2819,2954,3273,3310,3459,3718
ZCTA5 83276,83276,40,53,52,24,71,79,50,68,92,114,192,223,1278,1267,1227,1392,1459,1450
ZCTA5 83277,83277,7,18,21,8,0,0,13,9,0,28,27,21,33,33,38,61,60,59
ZCTA5 83278,83278,15,19,28,2,3,2,0,0,0,17,22,30,180,173,180,197,195,210
ZCTA5 83281,83281,0,0,0,0,0,0,0,31,41,0,31,41,3,2,38,3,33,79
ZCTA5 83283,83283,0,0,0,0,0,9,15,9,8,15,9,17,39,34,28,54,43,45
ZCTA5 83285,83285,0,0,0,0,0,0,0,0,0,0,0,0,7,13,19,7,13,19
ZCTA5 83286,83286,47,37,35,11,27,38,27,18,11,85,82,84,349,382,363,434,464,447
ZCTA5 83287,83287,15,10,13,6,4,15,35,29,12,56,43,40,61,79,81,117,122,121
ZCTA5 83301,83301,513,412,336,410,379,353,704,639,480,1627,1430,1169,20995,21628,22156,22622,23058,23325
ZCTA5 83302,83302,3,4,2,1,0,0,3,0,0,7,4,2,76,87,47,83,91,49
ZCTA5 83311,83311,17,15,32,8,32,36,34,23,17,59,70,85,185,162,116,244,232,201
ZCTA5 83312,83312,0,0,29,0,0,0,6,0,0,6,0,29,40,52,48,46,52,77
ZCTA5 83313,83313,54,75,134,78,78,89,62,101,85,194,254,308,1055,1116,974,1249,1370,1282
ZCTA5 83314,83314,16,29,22,11,18,17,55,68,44,82,115,83,293,225,232,375,340,315
ZCTA5 83316,83316,328,315,221,194,201,212,139,106,137,661,622,570,3308,3360,3308,3969,3982,3878
ZCTA5 83318,83318,202,235,275,173,171,186,151,174,187,526,580,648,5689,5798,5695,6215,6378,6343
ZCTA5 83320,83320,66,16,27,26,91,97,100,113,94,192,220,218,150,126,178,342,346,396
ZCTA5 83321,83321,6,9,6,10,32,27,4,0,0,20,41,33,177,169,158,197,210,191
ZCTA5 83322,83322,0,0,0,13,9,9,0,0,0,13,9,9,20,16,15,33,25,24
ZCTA5 83323,83323,31,32,26,14,44,52,10,1,11,55,77,89,536,514,590,591,591,679
ZCTA5 83324,83324,19,42,43,15,27,31,3,5,9,37,74,83,160,145,121,197,219,204
ZCTA5 83325,83325,16,23,30,36,60,48,8,11,9,60,94,87,173,168,152,233,262,239
ZCTA5 83327,83327,10,18,35,27,44,55,25,28,32,62,90,122,205,185,164,267,275,286
ZCTA5 83328,83328,123,173,183,25,62,80,50,54,16,198,289,279,1813,1954,2143,2011,2243,2422
ZCTA5 83330,83330,32,52,140,213,236,211,38,20,42,283,308,393,2072,2102,2026,2355,2410,2419
ZCTA5 83332,83332,91,93,104,22,81,63,85,61,55,198,235,222,998,876,958,1196,1111,1180
ZCTA5 83333,83333,316,304,408,60,102,103,61,44,93,437,450,604,3896,3937,4103,4333,4387,4707
ZCTA5 83334,83334,64,35,36,39,58,45,50,39,44,153,132,125,733,703,713,886,835,838
