zip_code,year,walkability_category,active_license_count,category_weight
60603,2022,fresh_food_and_daily_needs,271,813
60603,2022,home_based_or_non_storefront,9,0
60603,2022,industrial_or_logistics,19,-38
60603,2022,local_retail_and_commercial_services,390,390
60603,2022,personal_and_health_services,7,14
60603,2022,restaurants_and_social_life,165,495
60603,2022,uncategorized,362,0
60603,2023,auto_oriented,29,-87
60603,2023,community_and_entertainment,36,72
60603,2023,fresh_food_and_daily_needs,213,639
60603,2023,home_based_or_non_storefront,5,0
60603,2023,industrial_or_logistics,14,-28
60603,2023,local_retail_and_commercial_services,260,260
60603,2023,personal_and_health_services,8,16
60603,2023,restaurants_and_social_life,153,459
60603,2023,uncategorized,229,0
60603,2024,auto_oriented,27,-81
60603,2024,community_and_entertainment,33,66
60603,2024,fresh_food_and_daily_needs,248,744
60603,2024,home_based_or_non_storefront,2,0
60603,2024,industrial_or_logistics,12,-24
60603,2024,local_retail_and_commercial_services,288,288
60603,2024,personal_and_health_services,9,18
60603,2024,restaurants_and_social_life,158,474
60603,2024,uncategorized,280,0
60603,2025,auto_oriented,28,-84
60603,2025,community_and_entertainment,35,70
60603,2025,fresh_food_and_daily_needs,200,600
60603,2025,home_based_or_non_storefront,2,0
60603,2025,industrial_or_logistics,8,-16
60603,2025,local_retail_and_commercial_services,203,203
60603,2025,personal_and_health_services,5,10
60603,2025,restaurants_and_social_life,136,408
60603,2025,uncategorized,176,0
60604,2000,fresh_food_and_daily_needs,2,6
60604,2000,restaurants_and_social_life,3,9
60604,2000,uncategorized,9,0
60604,2001,community_and_entertainment,1,2
60604,2001,fresh_food_and_daily_needs,5,15
60604,2001,industrial_or_logistics,1,-2
60604,2001,local_retail_and_commercial_services,1,1
